,Product Name,BigBasket Price,JioMart Price,DMart Price,MRP,Category,Sub Category,Big Basket Savings,JioMart Savings,DMart Savings,Big Basket Discount Percentage,JioMart Discount Percentage,DMart Discount Percentage
0,Parle 20-20 Gold Cashew Almond Cookies 600 g,99,120,89,190,Snacks,Biscuits & cookies,91,70,101,47,36,53
1,Britannia Good Day Chocochip Cookies 400 g,85,90,79,140,Snacks,Biscuits & cookies,55,50,61,39,35,43
2,Sunfeast Dark Fantasy Original Choco Filled Biscuits 300 g,99,113,89,170,Snacks,Biscuits & cookies,71,57,81,41,33,47
3,Cadbury Oreo Original Chocolatey Sandwich Biscuits Jumbo Pack 500 g,89,95,85,145,Snacks,Biscuits & cookies,56,50,60,38,34,41
4,Parle-G Gold Biscuits 1 kg,105,115,99,140,Snacks,Biscuits & cookies,35,25,41,25,17,29
5,Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg,149,159,133,199,Snacks,Biscuits & cookies,50,40,66,25,20,33
6,Parle-G Original Glucose Biscuits 800 g,69,75,69,85,Snacks,Biscuits & cookies,16,10,16,18,11,18
7,Parle Platina Nutricrunch Digestive Cookies 1 kg,120,125,119,250,Snacks,Biscuits & cookies,130,125,131,52,50,52
8,Britannia Tiger Krunch Chocochips Biscuits Combo Pack 400 g,69,70,65,85,Snacks,Biscuits & cookies,16,15,20,18,17,23
9,Cadbury Oreo Original Vanilla Creme Biscuits 300 g,29,30,29,30,Snacks,Biscuits & cookies,1,0,1,3,0,3
10,Parle Hide & Seek Chocolate Chip Cookies 100 g,26,27,24,30,Snacks,Biscuits & cookies,4,3,6,13,10,20
11,Parle 20-20 Gold Cashew Almond Cookies 1 kg,140,150,129,160,Snacks,Biscuits & cookies,20,10,31,12,6,19
12,Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits 400 g,80,70,75,150,Snacks,Biscuits & cookies,70,80,75,46,53,50
13,Parle Happy Happy Choco-Chip Cookies 400 g,69,75,65,99,Snacks,Biscuits & cookies,30,24,34,30,24,34
14,Britannia Good Day Cashew Cookies 100 g,19,21,21,25,Snacks,Biscuits & cookies,6,4,4,24,16,16
15,Britannia Good Day Cashew Biscuits 1 Kg,169,170,159,350,Snacks,Biscuits & cookies,181,180,191,51,51,54
16,Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g,25,25,24,40,Snacks,Biscuits & cookies,15,15,16,37,37,40
17,Sunfeast Dark Fantasy Choco Fills Cookies 75 g,29,33,29,60,Snacks,Biscuits & cookies,31,27,31,51,45,51
18,Kellogg's Fruit & Nut Crunchy Muesli 750 g,369,349,329,465,Snacks,Breakfast-cereals,96,116,136,20,24,29
19,Kellogg's Corn Flakes 1.2 kg,365,349,329,460,Snacks,Breakfast-cereals,95,111,131,20,24,28
20,Kellogg's Chocos Variety Pack 175 g (Pack of 7),59,58,59,70,Snacks,Breakfast-cereals,11,12,11,15,17,15
