,Product Name,BigBasket Price,JioMart Price,DMart Price,MRP,Category,Sub Category,Big Basket Savings,JioMart Savings,DMart Savings,Big Basket Discount Percentage,JioMart Discount Percentage,DMart Discount Percentage
0,Bio Nutrients Pure Diet Soy Paneer 200 g (Pack),47,42,40,47,Dairy and Bakery,Paneer,0,5,7,0,10,14
1,Mother Dairy Malai Paneer 200 g (Pack),84,80,79,89,Dairy and Bakery,Paneer,5,9,10,5,10,11
2,"Urban Platter Firm Tofu, 200g ( Pack Of 2)",577,570,550,600,Dairy and Bakery,Paneer,23,30,50,3,5,8
3,Soyfit Tofu Supreme Chilli and Supreme Garlic peper (Pack of 1 each),235,233,228,280,Dairy and Bakery,Paneer,45,47,52,16,16,18
4,Soyfit Tofu Supreme Regular and Supreme Garlic peper (Pack of 1 each),219,211,210,260,Dairy and Bakery,Paneer,41,49,50,15,18,19
5,Soyfit Tofu Supreme Chilli and Supreme Regular (Pack of 1 each),219,211,205,260,Dairy and Bakery,Paneer,41,49,55,15,18,21
6,Soyfit Tofu Supreme Garlic Pepper Paneer 800 g (Pack of 4),439,462,445,560,Dairy and Bakery,Paneer,121,98,115,21,17,20
7,Soyfit Tofu Supreme Regular 800 g (Pak of 4),365,387,390,480,Dairy and Bakery,Paneer,115,93,90,23,19,18
8,Soyfit Tofu Supreme Garlic Pepper Paneer 400 g(Pack of 2),340,232,222,280,Dairy and Bakery,Paneer,-60,48,58,-21,17,20
9,Soyfit Tofu Supreme Regular 400 g (Pak of 2),200,195,190,240,Dairy and Bakery,Paneer,40,45,50,16,18,20
10,Soyfit Tofu Supreme Chilli 800 g (Pack of 4),455,462,463,560,Dairy and Bakery,Paneer,105,98,97,18,17,17
11,Soyfit Tofu Supreme Chilli 400 g (Pack of 2),220,232,230,280,Dairy and Bakery,Paneer,60,48,50,21,17,17
12,Soyfit Tofu Supreme Garlic Pepper 200g,120,108,100,140,Dairy and Bakery,Paneer,20,32,40,14,22,28
13,Soyfit Tofu Supreme Regular 200g,97,99,95,120,Dairy and Bakery,Paneer,23,21,25,19,17,20
14,Soyfit Tofu Supreme Chilli 200g,125,117,115,140,Dairy and Bakery,Paneer,15,23,25,10,16,17
15,Amul Butter 100 g (Carton),53,52,50,54,Dairy and Bakery,Dairy,1,2,4,1,3,7
